claim_id,claim_date,sale_id,repair_status
CL-285,1/17/2020,OID-363381,Free Replaced
CL-290,1/19/2020,OID-363359,Free Replaced
CL-291,1/19/2020,OID-363371,Free Replaced
CL-299,1/21/2020,OID-363397,Free Replaced
CL-308,1/23/2020,OID-363395,Free Replaced
CL-316,1/25/2020,OID-363325,Free Replaced
CL-323,1/27/2020,OID-363323,Free Replaced
CL-334,1/31/2020,OID-363305,Free Replaced
CL-344,2/2/2020,OID-363306,Free Replaced
CL-355,2/7/2020,OID-363225,Free Replaced
CL-356,2/7/2020,OID-363398,Free Replaced
CL-366,2/10/2020,OID-363219,Free Replaced
CL-367,2/10/2020,OID-363256,Free Replaced
CL-370,2/11/2020,OID-363278,Free Replaced
CL-371,2/11/2020,OID-363310,Free Replaced
CL-372,2/11/2020,OID-363319,Free Replaced
CL-376,2/12/2020,OID-363289,Free Replaced
CL-379,2/13/2020,OID-363247,Free Replaced
CL-380,2/13/2020,OID-363331,Free Replaced
CL-384,2/14/2020,OID-363296,Free Replaced
CL-393,2/16/2020,OID-363209,Free Replaced
CL-397,2/17/2020,OID-363277,Free Replaced
CL-398,2/17/2020,OID-363347,Free Replaced
CL-399,2/17/2020,OID-363379,Free Replaced
CL-403,2/18/2020,OID-363287,Free Replaced
CL-404,2/18/2020,OID-363311,Free Replaced
CL-409,2/19/2020,OID-363403,Free Replaced
CL-411,2/20/2020,OID-363270,Free Replaced
CL-412,2/20/2020,OID-363298,Free Replaced
CL-413,2/20/2020,OID-363389,Free Replaced
CL-421,2/22/2020,OID-363238,Free Replaced
CL-422,2/22/2020,OID-363312,Free Replaced
CL-423,2/22/2020,OID-363362,Free Replaced
CL-431,2/23/2020,OID-363285,Free Replaced
CL-432,2/23/2020,OID-363334,Free Replaced
CL-434,2/24/2020,OID-363233,Free Replaced
CL-444,2/26/2020,OID-363255,Free Replaced
CL-446,2/27/2020,OID-363265,Free Replaced
CL-447,2/27/2020,OID-363304,Free Replaced
CL-451,2/28/2020,OID-363240,Free Replaced
CL-452,2/28/2020,OID-363356,Free Replaced
CL-455,2/29/2020,OID-363314,Free Replaced
CL-458,3/1/2020,OID-363140,Free Replaced
CL-464,3/2/2020,OID-363327,Free Replaced
CL-465,3/2/2020,OID-363382,Free Replaced
CL-468,3/3/2020,OID-363250,Free Replaced
CL-469,3/3/2020,OID-363284,Free Replaced
CL-470,3/3/2020,OID-363307,Free Replaced
CL-471,3/3/2020,OID-363348,Free Replaced
CL-474,3/4/2020,OID-363137,Free Replaced
CL-475,3/4/2020,OID-363346,Free Replaced
CL-479,3/5/2020,OID-363091,Free Replaced
CL-480,3/5/2020,OID-363224,Free Replaced
CL-481,3/5/2020,OID-363236,Free Replaced
CL-487,3/6/2020,OID-363119,Free Replaced
CL-488,3/6/2020,OID-363249,Free Replaced
CL-495,3/7/2020,OID-363199,Free Replaced
CL-503,3/9/2020,OID-363045,Free Replaced
CL-504,3/9/2020,OID-363109,Free Replaced
CL-505,3/9/2020,OID-363363,Free Replaced
CL-507,3/10/2020,OID-363082,Free Replaced
CL-509,10/13/2020,OID-423635,Paid Repaired
CL-510,3/11/2020,OID-363202,Free Replaced
CL-511,3/11/2020,OID-363243,Free Replaced
CL-512,3/11/2020,OID-363396,Free Replaced
CL-514,3/12/2020,OID-363076,Free Replaced
CL-515,3/12/2020,OID-363127,Free Replaced
CL-516,3/12/2020,OID-363251,Free Replaced
CL-518,5/19/2020,OID-410968,Warranty Void
CL-521,3/13/2020,OID-363022,Free Replaced
CL-522,3/13/2020,OID-363084,Free Replaced
CL-523,3/13/2020,OID-363235,Free Replaced
CL-524,3/13/2020,OID-363344,Free Replaced
CL-528,3/14/2020,OID-363291,Free Replaced
CL-529,3/14/2020,OID-363386,Free Replaced
CL-530,11/13/2020,OID-398148,Paid Repaired
CL-540,3/16/2020,OID-363195,Free Replaced
CL-546,3/17/2020,OID-363201,Free Replaced
CL-547,3/17/2020,OID-363272,Free Replaced
CL-548,3/17/2020,OID-363353,Free Replaced
CL-552,3/18/2020,OID-363324,Free Replaced
CL-553,3/18/2020,OID-363375,Free Replaced
CL-554,7/24/2020,OID-398153,Warranty Void
CL-556,3/19/2020,OID-363301,Free Replaced
CL-560,3/20/2020,OID-363083,Free Replaced
CL-561,3/20/2020,OID-363156,Free Replaced
CL-562,3/20/2020,OID-363259,Free Replaced
CL-563,3/20/2020,OID-363292,Free Replaced
CL-567,3/21/2020,OID-363317,Free Replaced
CL-569,3/22/2020,OID-362976,Free Replaced
CL-570,3/22/2020,OID-363073,Free Replaced
CL-571,3/22/2020,OID-363123,Free Replaced
CL-577,3/23/2020,OID-363027,Free Replaced
CL-578,3/23/2020,OID-363036,Free Replaced
CL-579,3/23/2020,OID-363393,Free Replaced
CL-581,8/2/2020,OID-436406,Warranty Void
CL-589,3/25/2020,OID-363040,Free Replaced
CL-590,3/25/2020,OID-363080,Free Replaced
CL-591,3/25/2020,OID-363290,Free Replaced
CL-592,3/25/2020,OID-363341,Free Replaced
CL-595,3/26/2020,OID-363004,Free Replaced
CL-596,3/26/2020,OID-363211,Free Replaced
CL-600,3/27/2020,OID-363039,Free Replaced
CL-601,3/27/2020,OID-363053,Free Replaced
CL-602,3/27/2020,OID-363069,Free Replaced
